"Line Number","Name","NIC","Employee Number","Designation","Date Of Join","Address Line1","Address Line2","City","Bank","Branch","Account Number","Basic Salary","BRA","Gross Salary","EPF Deduction","Net Salary","Attendance Incentive","Upselling Incentive","E Billing Incentive","Paye Tax","Total Remuneration","Hold","Bank Transfer Amount","EPF Contribution","ETF Contribution"
"3","B LAHIRU THIWANKA","123456789V","1","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 1","COM","","001234567890","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","1,500.00","395.65","0.00","0.00","15,235.65","0.00","15,235.65","1,740.00","435.00"
"5","FATHIMA RINOSHA HARUN","123456790V","2","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 2","COM","","001234567891","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","0.00","2,023.10","0.00","0.00","15,363.10","0.00","15,363.10","1,740.00","435.00"
"7","S PANDULA DESHAPRIYA","123456791V","3","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 3","COM","","001234567892","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","1,500.00","9.01","0.00","0.00","14,849.01","0.00","14,849.01","1,740.00","435.00"
"9","S DANUSHA ERANGI SILVA","123456792V","4","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 4","COM","","001234567893","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","1,500.00","386.34","0.00","0.00","15,226.34","0.00","15,226.34","1,740.00","435.00"
"11","M H MOHAMED  SHABEER","123456793V","5","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 5","COM","","001234567894","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","0.00","106.16","0.00","0.00","13,446.16","0.00","13,446.16","1,740.00","435.00"
"13","I P A ARUNA MADUSHANKA","123456794V","6","CALL CENTRE ASSOCIATES","4/8/2013 12:00:00 AM","NO 1. KANDY ROAD","MALABE","COLOMBO 6","COM","","001234567895","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","1,500.00","120.71","0.00","0.00","14,960.71","0.00","14,960.71","1,740.00","435.00"
"15","N K D DILINI ANUPAMA","123456795V","7","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 7","COM","","001234567896","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","1,500.00","428.22","0.00","0.00","15,268.22","0.00","15,268.22","1,740.00","435.00"
"17","KAVISHAN KANAGARATHNAM","123456796V","8","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 8","COM","","001234567897","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","0.00","0.00","0.00","0.00","13,340.00","0.00","13,340.00","1,740.00","435.00"
"19","RAZAN SHAMIL","123456797V","9","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 9","COM","","001234567898","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","1,500.00","0.00","0.00","0.00","14,840.00","0.00","14,840.00","1,740.00","435.00"
"21","SHEHARA PEIRIS","123456798V","10","CALL CENTRE ASSOCIATES","","NO 1. KANDY ROAD","MALABE","COLOMBO 10","COM","","001234567899","13,500.00","1,000.00","14,500.00","1,160.00","13,340.00","1,500.00","0.00","0.00","0.00","14,840.00","0.00","14,840.00","1,740.00","435.00"
