"NICNumber","LastName","Initials","MemberAcNumber","TotalContribution","EmployersContribution","MembersContribution","TotalEarnings","MemberStatus","ZoneCode","EmployerNumber","ContributionPeriod","SubmitionId","DaysOfWork","OccupationClassificationGrade"
"123456789V","THIWANKA","B L","1",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456790V","HARUN","F R","2",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456791V","DESHAPRIYA","S P","3",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456792V","SILVA","S D E","4",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456793V","SHABEER","M H M","5",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456794V","MADUSHANKA","I P A","6",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456795V","ANUPAMA","N K D","7",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456796V","KANAGARATHNAM","K","8",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456797V","SHAMIL","R","9",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456798V","PEIRIS","S","10",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456799V","KANCHANAMALA","T","11",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456800V","ROZEENA","F","12",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456801V","GUNADAS","R","13",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456802V","WIJERATHNE","M","14",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456803V","MAHESHI","P","15",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456804V","NIMANTHI","U","16",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456805V","RASHMIKA","T","17",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456806V","VIVEK","V","18",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456807V","SILVA","N","19",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456808V","THINELKA","K M","20",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456809V","MARZOOK","M I","21",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456810V","RUSHANTHAN","P","22",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456811V","RATHNAYAKE","R M N","23",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456812V","ANDRADI","W M D T M","24",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456813V","SUJEETHARAN","M","25",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456814V","HANIFFA","G S","26",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456815V","DISSANAYAKE","D M K K","27",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456816V","ISHARA","M K A R","28",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456817V","JAYATHISSA","W A C","29",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456818V","KULANIMA","S T","30",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456819V","MUNZIRV","F M","31",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456820V","MAHENDRAN","I","32",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456821V","HAQ","I","33",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456822V","MUBARAK","M M M","34",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456823V","THASSIM","M A S","35",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
"123456824V","ANTHONY","C","36",2900.00,1740.00,1160.00,14500.00,"","","","2014-03",1,0,"42"
