"EMPLOYEE NUMBER","NIC","NAME","DATE OF JOIN","MEMBER STATUS","DAYS WORKED","DESIGNATION","ADDRESS LINE 1","ADDRESS LINE 2","CITY","ACCOUNT","BANK","BRANCH","BASIC SALARY","BRA","NO PAY","GROSS SALARY","EPF DEDUCTION","NET SALARY","TBI","PBI","SALES COMMISSION","UPSELLING AND EBILLING INCENTIVE","TOTAL REMUNERATION","PAYE","HOLD","BANK TRANSFER AMOUNT","EPF CONTRIBUTION","ETF CONTRIBUTION"
5501,"813413345V","D.R.G.SAMEERA PRAGEETH",,"V",,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 1","COLOMBO 01",8150911370,"COM","KANDY",18000.00,1000.00,0.00,19000.00,1520.00,17480.00,5162.39,14271.32,1000.00,10.00,37923.71,0.00,0.00,37923.71,2280.00,570.00
5502,"870260024V","B.S.SANDARUWAN FERNANDO",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 2","COLOMBO 02",8460039992,"COM","RATMALANA",18000.00,1000.00,0.00,19000.00,1520.00,17480.00,4439.23,1277.57,2000.00,20.00,25216.80,0.00,0.00,25216.80,2280.00,570.00
5503,"886491867V","A.DILU RAJENDRA",,,23,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 3","COLOMBO 03",8130040782,"COM","NEGOMBO",17000.00,1000.00,0.00,18000.00,1440.00,16560.00,3220.00,1108.82,3000.00,30.00,23918.82,970.00,0.00,22948.82,2160.00,540.00
5504,"863422710V","W.V.D.THARINDU ISHAN JAYATHILAKE",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 4","COLOMBO 04","102653480096","SAM","PANADURA",17000.00,1000.00,0.00,18000.00,1440.00,16560.00,1816.67,1243.82,4000.00,40.00,23660.50,0.00,0.00,23660.50,2160.00,540.00
5505,"847901721V","KANCHANA UDESHIKA JAYASINGHE",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 5","COLOMBO 05",8115020066,"COM","HATTON",17000.00,1000.00,0.00,18000.00,1440.00,16560.00,3500.00,1738.82,5000.00,50.00,26848.82,0.00,0.00,26848.82,2160.00,540.00
5506,"885313060V","H.G. YASHOJA RANGANI",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 6","COLOMBO 06",8050014775,"COM",,16000.00,1000.00,0.00,17000.00,1360.00,15640.00,3152.98,1840.07,6000.00,60.00,26693.06,0.00,0.00,26693.06,2040.00,510.00
5507,"872353291V","H.SUJITH WALPOLA",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 7","COLOMBO 07",,,,16000.00,1000.00,0.00,17000.00,1360.00,15640.00,4060.00,2998.82,7000.00,70.00,29768.82,0.00,0.00,29768.82,2040.00,510.00
5508,"867034048V","SINTHUJA  RAVEENDRAN",,"e",,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 8","COLOMBO 08",8100060836,"COM","WELLAWATTA",16000.00,1000.00,0.00,17000.00,1360.00,15640.00,4298.21,4911.32,8000.00,80.00,32929.54,0.00,0.00,32929.54,2040.00,510.00
5509,"878573366V","B.UTHPALA SAMARAWICKRAMA ",,,14,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 9","COLOMBO 09",8670026232,"COM","KADAWATHA",16000.00,1000.00,0.00,17000.00,1360.00,15640.00,3855.11,928.82,9000.00,90.00,29513.94,0.00,0.00,29513.94,2040.00,510.00
5510,"890561217V","M.RAZEEK MUHAMMAD IKRAM",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 10","COLOMBO 10",8148011664,"COM","PUTTALAM",16000.00,1000.00,0.00,17000.00,1360.00,15640.00,3900.00,2627.57,10000.00,100.00,32267.57,0.00,0.00,32267.57,2040.00,510.00
5511,"868032650V","T.M. TECLA NAYOMI BANDARA",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 11","COLOMBO 11",8160076401,"COM","KURUNAGALA",18000.00,1000.00,0.00,19000.00,1520.00,17480.00,6220.00,4984.45,11000.00,110.00,39794.45,0.00,0.00,39794.45,2280.00,570.00
5512,"882602400V","M.AFFLAL MOHOMED SHIFFRAN",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 12","COLOMBO 12",8490034599,"COM","RATNAPURA",16000.00,1000.00,0.00,17000.00,1360.00,15640.00,4760.00,4573.82,12000.00,120.00,37093.82,450.00,0.00,36643.82,2040.00,510.00
5513,"925701874V","ERANDI ANUSHIKA DAYARATHNA ",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 13","COLOMBO 13",8150916388,"COM","KANDY CITY OFFICE",15000.00,1000.00,0.00,16000.00,1280.00,14720.00,0.00,1176.32,13000.00,130.00,29026.32,0.00,0.00,29026.32,1920.00,480.00
5514,"872193030V","MAHAROOF ZAHIR HUSSAIN",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 14","COLOMBO 14",8370035155,"COM","TRINCOMALEE",16000.00,1000.00,0.00,17000.00,1360.00,15640.00,2682.24,1513.82,14000.00,140.00,33976.06,0.00,0.00,33976.06,2040.00,510.00
5515,"883233247V","D.RAJITHA KUMARA PREMASIRI",,"N",,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 15","COLOMBO 15",8790010809,"COM","MAWANELLA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,5000.00,8725.07,15000.00,150.00,44055.07,0.00,0.00,44055.07,1980.00,495.00
5516,"872972757V","G.G.D.MADHAWA RANASINGHE",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 16","COLOMBO 16",,,,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3375.00,1170.70,16000.00,160.00,35885.70,0.00,0.00,35885.70,1980.00,495.00
5517,"893533214V","M.AR.D.LAHIRU KASUN SAMARAWEERA",,"V",,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 17","COLOMBO 17",,,,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,2634.73,1097.57,17000.00,170.00,36082.31,0.00,0.00,36082.31,1980.00,495.00
5518,"896961730V","M.NISANSALA CHATHURANI MIRANDU",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 2, KANDY ROAD","KIRIBATHGODA 18","COLOMBO 18",,,,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,1904.32,0.00,18000.00,180.00,35264.32,0.00,0.00,35264.32,1980.00,495.00
5519,"871472742V","JAYASEELAN ELANGESWARAN",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID CLM","NO 1, KANDY ROAD","KIRIBATHGODA 19","COLOMBO 19","097020080521","HNB","MUTWAL",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,2748.15,1986.32,19000.00,190.00,39104.47,0.00,0.00,39104.47,1980.00,495.00
5520,"900480580V","H.THUSHAN THILANGA PEIRIS",,,16,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 20","COLOMBO 20",8410041854,"COM","PANADURA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3125.00,895.07,20000.00,200.00,39400.07,0.00,0.00,39400.07,1980.00,495.00
5521,"845991073V","N.DURAGEE IROSHA IMALI",,"N",,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 21","COLOMBO 21",8630010386,"COM",,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,4083.19,4056.32,21000.00,210.00,44529.52,670.00,0.00,43859.52,1980.00,495.00
5522,"901211353V","R.RAJITHA LAKRUWAN KARUNARATHNE",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 22","COLOMBO 22",8121019661,"COM","KOTTAWA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,2931.02,2122.45,22000.00,220.00,42453.47,0.00,0.00,42453.47,1980.00,495.00
5523,"913652541V","R.M.GIMESH RUWANTHA",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 23","COLOMBO 23",8150909346,"COM","KANDY CITY OFFICE",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,4045.00,2965.07,23000.00,230.00,45420.07,0.00,0.00,45420.07,1980.00,495.00
5524,"882492125V","P.R. SUNETH CHATHURANGA AMARATHUNGA",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 24","COLOMBO 24",8213001628,"COM",,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,2763.87,0.00,24000.00,240.00,42183.87,0.00,0.00,42183.87,1980.00,495.00
5525,"892292256V","RAJASEKER MARK YOVAN",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 25","COLOMBO 25",8230000531,"COM",,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3890.00,5000.00,25000.00,250.00,49320.00,0.00,0.00,49320.00,1980.00,495.00
5526,"890312918V","M.RAMEEZ MOHAMED RAZEEL",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 26","COLOMBO 26",8212000602,"COM",,15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3270.00,2287.26,26000.00,260.00,46997.26,0.00,0.00,46997.26,1980.00,495.00
5527,"892360553V","DILEEPA DARSHANA SENANAYAKE",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 27","COLOMBO 27",8270046578,"COM","GALLE CITY",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3378.82,2042.57,27000.00,270.00,47871.39,0.00,0.00,47871.39,1980.00,495.00
5528,"902450505V","M.HARSHA JAYAMAL RANASINGHE",,,20,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 28","COLOMBO 28",8880027488,"COM","KADURUWELA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,1015.11,1221.32,28000.00,280.00,45696.44,0.00,0.00,45696.44,1980.00,495.00
5529,"921293240V","S. P. DHARSHANA CHATHURANGA",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 29","COLOMBO 29",8230030384,"COM","MUTWAL",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3175.00,1367.57,29000.00,290.00,49012.57,0.00,0.00,49012.57,1980.00,495.00
5530,"893592180V","M.A.AKALANKA PRADEEP MEEWALA",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 30","COLOMBO 30",8158001360,"COM","EHELIYAGODA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,2048.09,1007.57,30000.00,300.00,48535.66,0.00,0.00,48535.66,1980.00,495.00
5531,"891464819V","A.A.DAMITHA THARANGA",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 31","COLOMBO 31",8270047628,"COM","GALLE CITY",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,3450.00,1300.07,31000.00,310.00,51240.07,0.00,0.00,51240.07,1980.00,495.00
5532,"893522492V","M.LARIF MOHAMED IMRAN",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 2, KANDY ROAD","KIRIBATHGODA 32","COLOMBO 32",8340025561,"COM","NUWARA ELIYA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,4230.00,1603.82,32000.00,320.00,53333.82,0.00,0.00,53333.82,1980.00,495.00
5533,"922071179V","JEBBAR MOHAMED MIRSHAD",,,,"CALL CENTER ASSOCIATES - OB  - POSTPAID COLL.","NO 1, KANDY ROAD","KIRIBATHGODA 33","COLOMBO 33",8161000272,"COM","MAWATHAGEMA",15500.00,1000.00,0.00,16500.00,1320.00,15180.00,2316.16,3025.54,33000.00,330.00,53851.70,0.00,0.00,53851.70,1980.00,495.00
